unity_time;FPS
0.000;115.41
0.100;117.89
0.200;119.95
0.300;120.70
0.400;121.30
0.500;119.46
0.600;120.57
0.700;120.89
0.800;120.08
0.900;110.39
1.000;88.68
1.100;75.45
1.200;68.05
1.300;64.58
1.400;62.59
1.500;61.65
1.600;60.75
1.700;60.16
1.800;60.30
1.900;60.42
2.000;58.81
2.100;59.58
2.200;59.65
2.300;55.68
2.400;52.27
2.500;47.95
2.600;45.34
2.700;50.92
2.800;55.34
2.900;57.59
3.000;58.98
3.100;59.65
3.200;59.76
3.300;60.29
3.400;56.42
3.500;58.25
3.600;58.26
3.700;57.05
3.800;57.87
3.900;59.69
4.000;60.17
4.100;60.12
4.200;60.37
4.300;60.10
4.400;60.07
4.500;58.84
4.600;58.94
4.700;59.64
4.800;59.62
4.900;58.51
5.000;59.36
5.100;59.13
5.200;93.72
5.300;116.34
5.400;120.06
5.500;118.14
5.600;118.01
5.700;120.04
5.800;118.23
5.900;117.17
6.000;118.55
6.100;118.60
6.200;119.65
6.300;117.45
6.400;114.84
6.500;117.49
6.600;120.10
6.700;121.35
6.800;112.40
6.900;104.06
7.000;113.87
7.100;115.23
7.200;105.04
7.300;105.04
7.400;89.45
7.500;108.17
7.600;117.20
7.700;106.89
7.800;107.52
7.900;117.73
8.000;119.47
8.100;123.25
8.200;119.95
8.300;119.97
8.400;120.48
8.500;92.08
8.600;107.62
8.700;104.50
8.800;107.38
8.900;117.86
9.000;120.35
9.100;123.71
9.200;118.70
9.300;116.38
9.400;119.22
9.500;113.28
9.600;88.02
9.700;107.72
9.800;118.32
9.900;93.92
10.000;80.20
10.100;70.97
10.200;64.88
10.300;103.76
10.400;115.50
10.500;120.05
10.600;121.81
10.700;122.66
10.800;123.80
10.900;124.59
11.000;122.23
11.100;121.07
11.200;121.61
11.300;121.53
11.400;122.54
11.500;121.58
11.600;117.03
11.700;120.34
11.800;114.36
11.900;91.07
12.000;76.48
12.100;91.84
12.200;108.00
12.300;85.73
12.400;74.48
12.500;78.31
12.600;109.17
12.700;103.76
12.800;114.12
12.900;119.81
13.000;120.53
13.100;117.60
13.200;118.67
13.300;120.67
13.400;119.69
13.500;119.66
13.600;119.47
13.700;115.65
13.800;115.09
13.900;119.90
14.000;120.75
14.100;121.18
14.200;121.99
14.300;122.12
14.400;123.03
14.500;118.77
14.600;125.43
14.700;123.35
14.800;123.84
14.900;122.00
15.000;120.01
15.100;114.08
15.200;113.47
15.300;99.93
15.400;115.53
15.500;111.03
15.600;120.74
15.700;123.62
15.800;121.54
15.900;120.53
16.000;122.78
