Time(s);RTF
0.00;0.00
0.10;1.00
0.20;1.01
0.30;0.99
0.40;1.00
0.50;1.01
0.60;1.00
0.70;0.99
0.80;1.02
0.90;0.95
1.00;1.01
1.10;1.05
1.20;0.97
1.30;1.04
1.40;1.00
1.50;1.00
1.60;1.00
1.70;1.01
1.80;1.00
1.90;0.99
2.00;0.99
2.10;1.02
2.20;0.98
2.30;1.03
2.40;1.01
2.50;0.99
2.60;1.00
2.70;0.99
2.80;1.01
2.90;0.95
3.00;0.99
3.10;1.03
3.20;1.04
3.30;0.99
3.40;0.98
3.50;1.01
3.60;0.99
3.70;0.96
3.80;1.07
3.90;0.96
4.00;1.02
4.10;1.00
4.20;1.01
4.30;0.98
4.40;1.02
4.50;1.01
4.60;0.97
4.70;1.03
4.80;0.98
4.90;1.01
5.00;0.99
5.10;0.96
5.20;1.04
5.30;1.03
5.40;0.99
5.50;0.97
5.60;1.01
5.70;1.02
5.80;0.99
5.90;1.01
6.00;0.99
6.10;0.99
6.20;1.02
6.30;0.99
6.40;1.01
6.50;0.99
6.60;1.01
6.70;1.01
6.80;1.00
6.90;0.94
7.00;1.03
7.10;1.01
7.20;0.96
7.30;1.01
7.40;1.05
7.50;0.94
7.60;1.06
7.70;1.03
7.80;1.02
7.90;0.98
8.00;0.97
8.10;0.95
8.20;1.10
8.30;0.98
8.40;1.00
8.50;1.01
8.60;1.00
8.70;1.01
8.80;0.94
8.90;1.01
9.00;1.04
9.10;0.96
9.20;1.03
9.30;1.02
9.40;0.99
9.50;1.00
9.60;1.03
9.70;0.99
9.80;0.99
9.90;1.00
10.00;1.00
10.10;1.01
10.20;0.99
10.30;1.00
10.40;1.03
10.50;0.97
10.60;1.01
10.70;0.98
10.80;0.99
10.90;1.04
11.00;1.00
11.10;1.01
11.20;0.96
11.30;0.97
11.40;1.00
11.50;1.03
11.60;1.01
11.70;1.01
11.80;0.94
11.90;1.05
12.00;1.02
12.10;1.00
12.20;0.96
12.30;1.03
12.40;1.01
12.50;1.00
12.60;0.99
12.70;1.00
12.80;1.03
12.90;1.00
13.00;0.99
13.10;0.99
13.20;1.02
13.30;1.01
13.40;0.98
13.50;1.03
13.60;0.84
13.70;1.17
13.80;1.01
13.90;0.99
14.00;1.01
14.10;0.98
14.20;1.01
14.30;1.02
14.40;1.00
14.50;0.98
14.60;0.99
14.70;1.01
14.80;1.00
14.90;1.01
15.00;1.00
15.10;1.00
15.20;0.99
15.30;1.00
15.40;1.00
15.50;1.03
15.60;0.97
15.70;1.01
15.80;0.99
15.90;0.98
16.00;1.03
16.10;0.99
16.20;1.01
16.30;1.02
16.40;0.99
16.50;1.01
16.60;1.00
16.70;1.00
16.80;1.01
16.90;0.99
17.00;0.99
17.10;0.99
17.20;0.98
17.30;1.02
17.40;1.01
17.50;1.00
17.60;1.00
17.70;1.01
17.80;0.98
17.90;1.01
18.00;1.00
18.10;1.01
18.20;0.98
18.30;1.00
18.40;1.01
18.50;1.00
18.60;0.98
18.70;1.03
18.80;0.98
18.90;1.01
19.00;0.98
19.10;0.97
19.20;1.06
19.30;0.97
19.40;0.98
19.50;1.05
19.60;0.95
19.70;1.03
19.80;0.94
19.90;1.06
20.00;1.00
20.10;0.97
20.20;1.00
20.30;1.01
20.40;1.02
20.50;1.00
20.60;1.00
20.70;1.03
20.80;0.95
20.90;1.03
21.00;1.02
21.10;1.00
21.20;0.99
21.30;1.00
21.40;0.99
21.50;1.01
21.60;0.98
21.70;1.00
21.80;0.99
21.90;0.96
22.00;1.04
22.10;1.00
22.20;0.97
22.30;1.03
22.40;1.00
22.50;0.99
22.60;1.02
22.70;0.99
22.80;1.01
22.90;1.02
23.00;1.00
23.10;0.97
23.20;1.03
23.30;0.99
23.40;1.02
23.50;1.00
23.60;1.01
23.70;0.99
23.80;1.00
23.90;0.99
24.00;0.97
24.10;1.03
24.20;1.00
24.30;0.98
24.40;0.99
24.50;0.98
24.60;1.04
24.70;1.02
24.80;0.96
24.90;1.05
25.00;1.01
25.10;0.98
25.20;0.99
25.30;1.00
25.40;1.02
25.50;0.99
25.60;1.02
25.70;1.00
25.80;0.98
25.90;1.03
26.00;0.98
26.10;1.00
26.20;0.98
26.30;1.03
26.40;0.97
26.50;1.01
26.60;0.99
26.70;1.00
26.80;1.00
26.90;1.01
27.00;1.01
27.10;0.99
27.20;1.02
27.30;0.97
27.40;1.00
27.50;1.01
27.60;0.84
27.70;1.23
27.80;0.97
27.90;0.99
28.00;0.99
28.10;1.02
28.20;0.99
28.30;1.02
28.40;0.96
28.50;1.02
28.60;1.02
28.70;0.97
28.80;1.05
28.90;1.00
29.00;0.94
29.10;1.06
29.20;1.02
29.30;1.01
29.40;1.00
29.50;1.01
29.60;0.99
29.70;0.95
29.80;1.04
29.90;1.03
30.00;0.94
30.10;1.02
30.20;1.03
30.30;1.01
30.40;1.01
30.50;0.99
30.60;0.99
30.70;1.00
30.80;1.01
30.90;0.99
31.00;0.97
31.10;1.03
31.20;1.00
31.30;1.00
31.40;0.96
31.50;1.00
31.60;1.05
31.70;1.00
31.80;1.01
31.90;1.01
32.00;0.93
32.10;1.05
32.20;0.97
32.30;1.00
32.40;0.98
32.50;1.04
32.60;0.99
32.70;1.00
32.80;1.00
32.90;1.02
33.00;0.97
33.10;1.02
33.20;0.98
33.30;1.00
33.40;0.99
33.50;1.05
33.60;0.98
33.70;1.00
33.80;0.99
33.90;1.01
34.00;1.00
34.10;0.95
34.20;1.03
34.30;1.02
34.40;1.00
34.50;1.02
34.60;0.99
34.70;0.99
34.80;1.01
34.90;1.00
35.00;0.97
35.10;1.02
35.20;1.01
35.30;0.99
35.40;0.98
35.50;1.02
35.60;1.00
35.70;1.01
35.80;1.01
35.90;0.98
36.00;1.01
36.10;0.73
36.20;1.73
36.30;0.95
36.40;0.99
36.50;1.00
36.60;1.00
36.70;1.01
36.80;0.98
36.90;0.97
37.00;1.02
37.10;0.99
37.20;1.01
37.30;0.99
37.40;1.03
37.50;1.02
37.60;1.00
37.70;1.00
37.80;1.00
37.90;0.99
38.00;1.00
38.10;1.01
38.20;0.98
38.30;0.98
38.40;1.05
38.50;0.98
38.60;1.00
38.70;1.01
38.80;0.99
38.90;0.96
39.00;1.04
39.10;1.02
39.20;0.88
39.30;1.17
39.40;0.96
39.50;1.01
39.60;0.99
39.70;1.01
39.80;0.99
39.90;0.84
40.00;1.32
40.10;0.93
40.20;1.01
40.30;1.00
40.40;1.04
40.50;0.99
40.60;1.00
40.70;0.98
40.80;1.03
40.90;0.97
41.00;1.02
41.10;1.01
41.20;1.00
41.30;0.98
41.40;0.97
41.50;0.99
41.60;1.02
41.70;0.94
41.80;1.09
41.90;1.03
42.00;0.87
42.10;1.04
42.20;1.11
42.30;0.97
42.40;1.00
42.50;1.02
42.60;1.05
42.70;0.98
42.80;0.96
42.90;1.03
43.00;0.98
43.10;1.01
43.20;0.91
43.30;1.12
43.40;1.00
43.50;0.99
43.60;1.02
43.70;1.03
43.80;1.00
43.90;0.95
44.00;1.01
44.10;1.00
44.20;1.01
44.30;0.98
44.40;1.00
44.50;1.00
44.60;0.99
44.70;1.01
44.80;1.00
44.90;1.01
45.00;0.99
45.10;1.01
45.20;0.98
45.30;0.99
45.40;1.01
45.50;1.00
45.60;1.00
45.70;0.96
45.80;0.97
45.90;1.06
46.00;1.02
46.10;1.00
46.20;1.03
46.30;0.98
46.40;1.02
46.50;0.98
46.60;1.03
46.70;0.99
46.80;0.99
46.90;1.01
47.00;1.01
47.10;0.99
47.20;1.00
47.30;1.00
47.40;0.98
47.50;1.02
47.60;1.01
47.70;0.98
47.80;1.01
47.90;1.00
48.00;0.98
48.10;0.98
48.20;1.01
48.30;1.02
48.40;1.01
48.50;1.00
48.60;1.01
48.70;0.98
48.80;1.03
48.90;0.97
49.00;1.01
49.10;1.01
49.20;1.00
49.30;1.02
49.40;0.99
49.50;1.02
49.60;1.00
49.70;0.99
49.80;0.99
49.90;1.01
50.00;0.96
50.10;1.00
50.20;1.02
50.30;0.99
50.40;1.02
50.50;0.96
50.60;1.06
50.70;0.98
50.80;1.03
50.90;1.01
51.00;0.89
51.10;1.14
51.20;0.97
51.30;1.01
51.40;1.01
51.50;0.98
51.60;0.98
51.70;0.97
51.80;1.07
51.90;0.98
52.00;1.01
52.10;1.03
52.20;0.99
52.30;0.62
52.40;3.28
52.50;0.91
52.60;0.98
52.70;1.01
52.80;1.00
52.90;1.02
53.00;1.00
53.10;0.96
53.20;0.90
53.30;1.12
53.40;1.00
53.50;0.99
53.60;1.04
53.70;0.99
53.80;1.06
53.90;0.99
54.00;0.96
54.10;1.03
54.20;0.98
54.30;1.00
54.40;0.95
54.50;1.08
54.60;1.01
54.70;0.98
54.80;1.02
54.90;1.02
55.00;0.98
55.10;1.02
55.20;0.97
55.30;0.99
55.40;1.02
55.50;1.01
55.60;1.02
55.70;0.98
55.80;1.00
55.90;1.02
56.00;0.97
56.10;1.02
56.20;1.01
56.30;0.97
56.40;1.04
56.50;1.01
56.60;0.97
56.70;0.98
56.80;0.90
56.90;1.12
57.00;0.99
57.10;1.02
57.20;1.01
57.30;0.98
57.40;1.02
57.50;0.99
57.60;0.89
57.70;1.07
57.80;1.00
57.90;1.06
58.00;1.00
58.10;0.93
58.20;1.07
58.30;0.99
58.40;0.97
58.50;1.05
58.60;0.96
58.70;1.01
58.80;1.00
58.90;0.96
59.00;1.05
59.10;1.00
59.20;0.99
59.30;0.98
59.40;1.04
59.50;0.91
59.60;1.13
59.70;0.98
59.80;1.02
59.90;1.02
60.00;1.01
60.10;1.00
60.20;0.98
60.30;0.98
60.40;1.06
60.50;0.98
60.60;1.01
60.70;0.85
60.80;1.21
60.90;0.99
61.00;1.00
61.10;1.00
61.20;1.00
61.30;0.97
61.40;1.05
61.50;0.96
61.60;1.03
61.70;0.93
61.80;1.05
61.90;1.03
62.00;0.98
62.10;1.02
62.20;0.99
62.30;0.96
62.40;1.03
62.50;1.00
62.60;0.99
62.70;0.98
62.80;1.00
62.90;1.05
63.00;0.99
63.10;0.97
63.20;1.02
63.30;0.96
63.40;1.06
63.50;0.90
63.60;1.10
63.70;0.97
63.80;1.01
63.90;1.03
64.00;0.97
64.10;1.01
64.20;0.98
64.30;0.99
64.40;1.02
64.50;1.02
64.60;1.05
64.70;0.98
64.80;1.00
64.90;1.01
65.00;1.00
65.10;0.99
65.20;1.00
65.30;0.97
65.40;1.04
65.50;0.95
65.60;1.04
65.70;1.00
65.80;0.97
65.90;1.04
66.00;1.01
66.10;0.99
66.20;1.00
66.30;0.97
66.40;1.03
66.50;0.95
66.60;1.05
66.70;1.02
66.80;0.96
66.90;1.04
67.00;1.00
67.10;1.01
67.20;0.97
67.30;0.96
67.40;1.06
67.50;0.99
67.60;1.06
67.70;0.98
67.80;0.99
67.90;1.03
68.00;0.99
68.10;1.00
68.20;1.00
68.30;0.96
68.40;1.06
68.50;1.00
68.60;0.96
68.70;1.03
68.80;0.98
68.90;1.05
69.00;1.00
69.10;1.00
69.20;1.00
69.30;0.98
69.40;1.03
69.50;0.99
69.60;1.01
69.70;0.99
69.80;0.96
69.90;1.06
70.00;1.00
70.10;0.99
70.20;1.00
70.30;0.71
70.40;1.85
70.50;0.95
70.60;0.99
70.70;0.96
70.80;1.03
70.90;1.02
71.00;0.98
71.10;1.00
71.20;0.97
71.30;1.02
71.40;1.02
71.50;1.03
71.60;0.99
71.70;1.03
71.80;0.93
71.90;1.09
72.00;0.99
72.10;1.01
72.20;0.98
72.30;1.02
72.40;0.99
72.50;1.01
72.60;0.99
72.70;1.01
72.80;0.99
72.90;0.99
73.00;1.03
73.10;1.00
73.20;1.00
73.30;0.97
73.40;1.01
73.50;0.99
73.60;1.02
73.70;0.99
73.80;0.98
73.90;1.02
74.00;1.00
74.10;0.99
74.20;1.02
74.30;0.94
74.40;1.06
74.50;0.95
74.60;1.02
74.70;0.99
74.80;1.00
74.90;1.01
75.00;0.97
75.10;1.03
75.20;0.99
75.30;1.00
75.40;0.98
75.50;1.01
75.60;0.98
75.70;1.04
75.80;1.01
75.90;1.02
76.00;0.95
76.10;1.06
76.20;0.98
76.30;0.99
76.40;1.02
76.50;1.01
76.60;0.99
76.70;0.95
76.80;1.02
76.90;1.01
77.00;1.00
77.10;1.01
77.20;0.97
77.30;1.01
77.40;1.00
77.50;1.01
77.60;1.01
77.70;0.99
77.80;0.88
77.90;1.17
78.00;0.97
78.10;1.00
78.20;1.01
78.30;1.00
78.40;0.96
78.50;1.04
78.60;1.00
78.70;0.97
78.80;1.00
78.90;1.03
79.00;0.99
79.10;1.00
79.20;1.02
79.30;0.96
79.40;1.01
79.50;0.98
79.60;1.02
79.70;0.99
79.80;1.01
79.90;1.02
80.00;1.02
80.10;1.04
80.20;0.96
80.30;0.98
80.40;1.02
80.50;0.99
80.60;1.01
80.70;0.97
80.80;1.01
80.90;1.00
81.00;1.02
81.10;1.01
81.20;0.98
81.30;1.02
81.40;1.00
81.50;0.94
81.60;1.05
81.70;0.90
81.80;1.07
81.90;1.01
82.00;1.05
82.10;1.00
82.20;0.99
82.30;0.99
82.40;1.01
82.50;1.03
82.60;0.98
82.70;1.03
82.80;0.93
82.90;1.05
83.00;1.00
83.10;1.00
83.20;0.98
83.30;0.98
83.40;1.02
83.50;1.02
83.60;0.99
83.70;1.02
83.80;0.96
83.90;1.02
84.00;1.01
84.10;0.99
84.20;0.99
84.30;1.00
84.40;1.03
84.50;1.01
84.60;0.98
84.70;1.00
84.80;0.98
84.90;1.01
85.00;1.01
85.10;1.00
85.20;1.01
85.30;0.95
85.40;1.04
85.50;0.98
85.60;1.02
85.70;1.01
85.80;0.96
85.90;1.00
86.00;1.03
86.10;1.01
86.20;0.96
86.30;1.03
86.40;1.02
86.50;0.99
86.60;1.00
86.70;1.01
86.80;0.98
86.90;1.03
87.00;0.99
87.10;1.00
87.20;1.01
87.30;0.97
87.40;1.02
87.50;1.00
87.60;0.98
87.70;1.01
87.80;0.97
87.90;1.03
88.00;0.96
88.10;0.91
88.20;1.15
88.30;0.97
88.40;1.00
88.50;0.99
88.60;1.07
88.70;1.00
88.80;0.93
88.90;1.09
89.00;0.99
89.10;1.00
89.20;1.01
89.30;0.98
89.40;1.01
89.50;1.01
89.60;0.99
89.70;1.01
89.80;0.98
89.90;1.02
90.00;1.00
90.10;1.00
90.20;0.97
90.30;1.01
90.40;1.01
90.50;1.00
90.60;0.99
90.70;1.01
90.80;0.98
90.90;1.03
91.00;1.00
91.10;1.00
91.20;1.00
91.30;0.98
91.40;1.01
91.50;1.02
91.60;0.98
91.70;1.00
91.80;0.99
91.90;1.02
92.00;0.99
92.10;1.01
92.20;1.01
92.30;0.97
92.40;1.04
92.50;0.93
92.60;1.06
92.70;1.00
92.80;0.96
92.90;1.05
93.00;0.99
93.10;0.95
93.20;1.10
93.30;0.97
93.40;1.03
93.50;0.97
93.60;0.95
93.70;1.07
93.80;0.99
93.90;1.01
94.00;1.00
94.10;0.98
94.20;1.02
94.30;0.98
94.40;1.02
94.50;0.89
94.60;1.15
94.70;0.99
94.80;1.00
94.90;1.02
95.00;0.99
95.10;0.96
95.20;1.02
95.30;1.02
95.40;1.01
95.50;0.99
95.60;1.00
95.70;0.96
95.80;1.02
95.90;0.99
96.00;1.00
96.10;1.00
96.20;1.00
96.30;1.00
96.40;0.99
96.50;1.04
96.60;0.90
96.70;1.10
96.80;0.99
96.90;1.00
97.00;1.00
97.10;0.99
97.20;1.05
97.30;0.98
97.40;0.97
97.50;1.00
97.60;1.01
97.70;1.00
97.80;1.01
97.90;1.04
98.00;0.92
98.10;1.08
98.20;0.98
98.30;1.01
98.40;0.99
98.50;0.96
98.60;1.05
98.70;0.96
98.80;1.04
98.90;0.98
99.00;0.97
99.10;1.02
99.20;0.99
99.30;0.99
99.40;0.99
99.50;1.01
99.60;1.01
99.70;0.97
99.80;1.03
99.90;1.00
100.00;0.98
100.10;1.03
100.20;0.98
100.30;1.04
100.40;0.93
100.50;1.08
100.60;0.99
100.70;1.00
100.80;0.94
100.90;1.07
101.00;0.98
101.10;1.02
101.20;0.98
101.30;0.94
101.40;1.01
101.50;1.06
101.60;1.00
101.70;1.01
101.80;0.99
101.90;1.06
102.00;0.97
102.10;1.00
102.20;1.01
102.30;0.99
102.40;1.01
102.50;1.00
102.60;0.95
102.70;1.05
102.80;1.01
102.90;0.98
103.00;1.01
103.10;1.00
103.20;1.00
103.30;1.00
103.40;0.97
103.50;1.04
103.60;0.98
103.70;0.98
103.80;1.03
103.90;0.97
104.00;1.03
104.10;1.00
104.20;1.03
104.30;0.96
104.40;1.03
104.50;0.98
104.60;0.98
104.70;1.04
104.80;0.96
104.90;1.03
105.00;0.97
105.10;1.02
105.20;0.96
105.30;1.03
105.40;0.93
105.50;1.13
105.60;0.91
105.70;1.10
105.80;1.00
105.90;0.99
106.00;1.01
106.10;0.99
106.20;0.85
106.30;1.23
106.40;0.99
106.50;0.91
106.60;1.08
106.70;1.02
106.80;1.01
106.90;1.03
107.00;0.99
107.10;0.97
107.20;1.02
107.30;1.00
107.40;1.00
107.50;0.99
107.60;1.01
107.70;1.00
107.80;1.00
107.90;0.99
108.00;1.00
108.10;0.97
108.20;1.04
108.30;1.01
108.40;1.01
108.50;0.97
108.60;1.01
108.70;0.98
108.80;1.01
108.90;1.01
109.00;1.00
109.10;1.01
109.20;1.02
109.30;0.96
109.40;0.97
109.50;1.04
109.60;1.01
109.70;0.98
109.80;0.98
109.90;1.01
110.00;0.85
110.10;1.29
110.20;0.98
110.30;1.02
110.40;0.99
110.50;0.96
110.60;1.02
110.70;0.98
110.80;1.03
110.90;1.01
111.00;0.96
111.10;1.01
111.20;1.00
111.30;1.03
111.40;0.95
111.50;1.05
111.60;0.97
111.70;1.03
111.80;1.01
111.90;0.99
112.00;1.00
112.10;0.99
112.20;1.02
112.30;1.00
112.40;1.01
112.50;1.00
112.60;1.00
112.70;1.01
112.80;0.99
112.90;0.96
113.00;1.00
113.10;1.03
113.20;1.00
113.30;0.99
113.40;1.01
113.50;1.01
113.60;0.98
113.70;1.02
113.80;0.94
113.90;1.02
114.00;1.03
114.10;0.98
114.20;1.00
114.30;1.02
114.40;0.99
114.50;1.03
114.60;1.00
114.70;1.00
114.80;0.94
114.90;1.07
115.00;0.98
115.10;1.01
115.20;0.99
115.30;1.06
115.40;0.95
115.50;1.00
115.60;0.98
115.70;1.02
115.80;0.97
115.90;1.03
116.00;0.96
116.10;1.05
116.20;1.00
116.30;1.01
116.40;1.00
116.50;0.96
116.60;1.02
116.70;1.00
116.80;1.02
116.90;1.00
117.00;1.01
117.10;0.98
117.20;0.97
117.30;1.01
117.40;1.04
117.50;0.95
117.60;1.02
117.70;0.99
117.80;1.00
117.90;0.97
118.00;1.05
118.10;0.99
118.20;0.93
118.30;1.15
118.40;0.94
118.50;1.05
118.60;1.01
118.70;1.00
118.80;1.00
118.90;1.02
119.00;0.98
119.10;0.97
