timestep_time;vehicle_id;vehicle_x;vehicle_y;vehicle_z
0.000;f_0.0;69.09;-0.04;9.50
0.000;f_1.81;1.10;0.00;12.97
0.000;f_1.82;100.71;0.05;12.97
0.000;f_1.83;177.56;0.00;12.97
0.000;f_1.80;-40.50;0.00;12.97
0.100;f_0.0;69.25;-0.04;9.50
0.100;f_1.81;-0.87;0.00;12.97
0.100;f_1.82;99.24;0.05;12.97
0.100;f_1.83;177.02;0.00;12.97
0.100;f_1.80;-42.18;0.00;12.97
0.200;f_0.0;69.41;-0.04;9.50
0.200;f_1.81;-2.77;0.00;12.97
0.200;f_1.82;97.79;0.04;12.97
0.200;f_1.83;176.46;0.00;12.97
0.200;f_1.80;-43.80;0.00;12.97
0.300;f_0.0;69.57;-0.04;9.50
0.300;f_1.81;-4.62;0.00;12.97
0.300;f_1.82;96.36;0.04;12.97
0.300;f_1.83;175.89;0.00;12.97
0.300;f_1.80;-45.37;0.00;12.97
0.400;f_0.0;69.72;-0.04;9.50
0.400;f_1.81;-6.43;0.00;12.97
0.400;f_1.82;94.94;0.03;12.97
0.400;f_1.83;175.30;0.00;12.97
0.400;f_1.80;-46.89;0.00;12.97
0.500;f_0.0;69.88;-0.04;9.50
0.500;f_1.81;-8.20;0.00;12.97
0.500;f_1.82;93.52;0.03;12.97
0.500;f_1.83;174.69;0.00;12.97
0.500;f_1.80;-48.37;0.00;12.97
0.600;f_0.0;70.04;-0.04;9.50
0.600;f_1.81;-9.94;0.00;12.97
0.600;f_1.82;92.12;0.03;12.97
0.600;f_1.83;174.07;0.00;12.97
0.600;f_1.80;-49.82;0.00;12.97
0.700;f_0.0;70.20;-0.04;9.50
0.700;f_1.81;-11.64;0.00;12.97
0.700;f_1.82;90.74;0.03;12.97
0.700;f_1.83;173.42;0.00;12.97
0.700;f_1.80;-51.22;0.00;12.97
0.800;f_0.0;70.36;-0.04;9.50
0.800;f_1.81;-13.32;0.00;12.97
0.800;f_1.82;89.36;0.02;12.97
0.800;f_1.83;172.75;0.00;12.97
0.800;f_1.80;-52.60;0.00;12.97
0.900;f_0.0;70.51;-0.04;9.50
0.900;f_1.81;-14.94;0.00;12.97
0.900;f_1.82;88.01;0.02;12.97
